,landmark_index,pred,ww,wm,mm,mw,w_support,m_support,w_precision,w_recall,m_precision,m_recall,w_f1,m_f1,precision,recall,f1
84,85,1,26,16,29,6,42,35,0.8125,0.6190476190476191,0.6444444444444445,0.8285714285714286,0.7027027027027026,0.7250000000000001,0.7361111111111112,0.7142857142857143,0.7128378378378378
85,86,0,36,6,20,15,42,35,0.7058823529411765,0.8571428571428571,0.7692307692307693,0.5714285714285714,0.7741935483870968,0.6557377049180327,0.7346770876182641,0.7272727272727273,0.7203499831738859
86,87,0,34,8,25,10,42,35,0.7727272727272727,0.8095238095238095,0.7575757575757576,0.7142857142857143,0.7906976744186046,0.7352941176470589,0.7658402203856749,0.7662337662337663,0.7655142395224473
87,88,0,32,10,28,7,42,35,0.8205128205128205,0.7619047619047619,0.7368421052631579,0.8,0.7901234567901233,0.7671232876712328,0.7824806772175193,0.7792207792207793,0.7796688344633549
88,89,0,39,3,20,15,42,35,0.7222222222222222,0.9285714285714286,0.8695652173913043,0.5714285714285714,0.8125000000000001,0.689655172413793,0.7891963109354414,0.7662337662337663,0.7566614420062696
89,90,1,34,8,21,14,42,35,0.7083333333333334,0.8095238095238095,0.7241379310344828,0.6,0.7555555555555556,0.65625,0.7155172413793104,0.7142857142857143,0.7104166666666667
90,91,0,34,8,24,11,42,35,0.7555555555555555,0.8095238095238095,0.75,0.6857142857142857,0.7816091954022989,0.7164179104477612,0.753030303030303,0.7532467532467533,0.7519767931502362
91,92,0,34,8,21,14,42,35,0.7083333333333334,0.8095238095238095,0.7241379310344828,0.6,0.7555555555555556,0.65625,0.7155172413793104,0.7142857142857143,0.7104166666666667
92,93,0,35,7,21,14,42,35,0.7142857142857143,0.8333333333333334,0.75,0.6,0.7692307692307692,0.6666666666666665,0.7305194805194806,0.7272727272727273,0.7226107226107226
93,94,0,34,8,26,9,42,35,0.7906976744186046,0.8095238095238095,0.7647058823529411,0.7428571428571429,0.8,0.7536231884057971,0.7788832234796667,0.7792207792207793,0.7789196310935441
94,95,0,39,3,24,11,42,35,0.78,0.9285714285714286,0.8888888888888888,0.6857142857142857,0.8478260869565217,0.7741935483870968,0.8294949494949494,0.8181818181818182,0.8143567512431468
95,96,1,34,8,27,8,42,35,0.8095238095238095,0.8095238095238095,0.7714285714285715,0.7714285714285715,0.8095238095238095,0.7714285714285715,0.7922077922077922,0.7922077922077922,0.7922077922077922
96,97,1,40,2,21,14,42,35,0.7407407407407407,0.9523809523809523,0.9130434782608695,0.6,0.8333333333333334,0.7241379310344828,0.8190601668862538,0.7922077922077922,0.7836990595611285
97,98,1,36,6,19,16,42,35,0.6923076923076923,0.8571428571428571,0.76,0.5428571428571428,0.7659574468085107,0.6333333333333332,0.7230769230769231,0.7142857142857143,0.7056737588652483
98,99,0,37,5,20,15,42,35,0.7115384615384616,0.8809523809523809,0.8,0.5714285714285714,0.7872340425531914,0.6666666666666666,0.7517482517482518,0.7402597402597403,0.7324306898774983
