sample_index,pts,r,stype,landmark_index
21,0,0,mt-at,10
24,0,0,mt-at,10
3,0,0,mt-at,10
317,0,0,mt-at,10
318,0,0,mt-at,10
319,0,0,mt-at,10
320,0,0,mt-at,10
321,0,0,mt-at,10
323,0,0,mt-at,10
324,0,0,mt-at,10
325,0,0,mt-at,10
326,0,0,mt-at,10
327,0,0,mt-at,10
328,0,0,mt-at,10
329,0,0,mt-at,10
330,0,0,mt-at,10
331,0,0,mt-at,10
332,0,0,mt-at,10
333,0,0,mt-at,10
334,0,0,mt-at,10
335,0,0,mt-at,10
336,0,0,mt-at,10
337,0,0,mt-at,10
338,0,0,mt-at,10
339,0,0,mt-at,10
340,0,0,mt-at,10
4,0,0,mt-at,10
5,0,0,mt-at,10
6,0,0,mt-at,10
1,0,3.35793222,mt-at,11
101,0,4.758767754,wt-at,11
102,1,4.594254617,wt-at,11
103,63,5.807032385,wt-at,11
104,0,4.758767754,wt-at,11
105,46,8.008387358,wt-at,11
106,0,4.758767754,wt-at,11
107,0,4.758767754,wt-at,11
108,0,4.758767754,wt-at,11
109,100,4.878642572,wt-at,11
110,0,4.758767754,wt-at,11
111,0,4.758767754,wt-at,11
112_1,0,4.758767754,wt-at,11
112_2,0,3.35793222,mt-at,11
113,3020,6.246602942,wt-at,11
114,0,4.758767754,wt-at,11
115,119,9.929717299,wt-at,11
116,351,2.068182638,wt-at,11
117,0,4.758767754,wt-at,11
118,0,4.758767754,wt-at,11
119,0,4.758767754,wt-at,11
120,0,4.758767754,wt-at,11
121,0,4.758767754,wt-at,11
122,0,4.758767754,wt-at,11
123,0,4.758767754,wt-at,11
124,0,4.758767754,wt-at,11
125,0,4.758767754,wt-at,11
126,0,4.758767754,wt-at,11
127,0,4.758767754,wt-at,11
128,298,3.175778961,wt-at,11
129,0,4.758767754,wt-at,11
130,0,4.758767754,wt-at,11
131,0,4.758767754,wt-at,11
132,387,4.943554823,wt-at,11
133,0,4.758767754,wt-at,11
134,0,4.758767754,wt-at,11
135,0,4.758767754,wt-at,11
136,0,4.758767754,wt-at,11
137,0,4.758767754,wt-at,11
138,0,4.758767754,wt-at,11
139,0,4.758767754,wt-at,11
140,89,2.977162531,wt-at,11
141,1117,4.638892937,wt-at,11
142,6,0.601126235,wt-at,11
143,0,4.758767754,wt-at,11
152,0,3.35793222,mt-at,11
172,0,3.35793222,mt-at,11
19,0,3.35793222,mt-at,11
2,0,3.35793222,mt-at,11
21,0,3.35793222,mt-at,11
24,0,3.35793222,mt-at,11
3,0,3.35793222,mt-at,11
317,0,3.35793222,mt-at,11
318,0,3.35793222,mt-at,11
319,0,3.35793222,mt-at,11
320,0,3.35793222,mt-at,11
321,0,3.35793222,mt-at,11
323,0,3.35793222,mt-at,11
324,0,3.35793222,mt-at,11
325,0,3.35793222,mt-at,11
326,0,3.35793222,mt-at,11
327,0,3.35793222,mt-at,11
328,0,3.35793222,mt-at,11
329,71,4.40294327,mt-at,11
330,0,3.35793222,mt-at,11
331,0,3.35793222,mt-at,11
332,0,3.35793222,mt-at,11
333,26,2.312921169,mt-at,11
334,0,3.35793222,mt-at,11
335,0,3.35793222,mt-at,11
336,0,3.35793222,mt-at,11
337,0,3.35793222,mt-at,11
338,0,3.35793222,mt-at,11
339,0,3.35793222,mt-at,11
340,0,3.35793222,mt-at,11
4,0,3.35793222,mt-at,11
5,0,3.35793222,mt-at,11
6,0,3.35793222,mt-at,11
1,0,1.396830283,mt-at,12
101,0,3.299413179,wt-at,12
102,29,3.069329443,wt-at,12
103,1944,6.286547762,wt-at,12
104,0,3.299413179,wt-at,12
105,324,5.43305835,wt-at,12
106,0,3.299413179,wt-at,12
107,0,3.299413179,wt-at,12
108,0,3.299413179,wt-at,12
109,0,3.299413179,wt-at,12
110,0,3.299413179,wt-at,12
111,0,3.299413179,wt-at,12
112_1,0,3.299413179,wt-at,12
112_2,0,1.396830283,mt-at,12
113,660,2.939999651,wt-at,12
114,0,3.299413179,wt-at,12
115,297,2.684867058,wt-at,12
116,127,1.473603604,wt-at,12
117,0,3.299413179,wt-at,12
118,0,3.299413179,wt-at,12
119,0,3.299413179,wt-at,12
120,0,3.299413179,wt-at,12
121,0,3.299413179,wt-at,12
122,0,3.299413179,wt-at,12
123,0,3.299413179,wt-at,12
124,0,3.299413179,wt-at,12
125,0,3.299413179,wt-at,12
126,0,3.299413179,wt-at,12
127,0,3.299413179,wt-at,12
128,1215,3.542219692,wt-at,12
129,0,3.299413179,wt-at,12
130,0,3.299413179,wt-at,12
131,0,3.299413179,wt-at,12
132,7144,4.172842633,wt-at,12
133,0,3.299413179,wt-at,12
134,0,3.299413179,wt-at,12
135,0,3.299413179,wt-at,12
136,0,3.299413179,wt-at,12
137,0,3.299413179,wt-at,12
138,0,3.299413179,wt-at,12
139,1,9.206906885,wt-at,12
140,215,3.299413179,wt-at,12
141,258,2.428279475,wt-at,12
142,467,2.427861405,wt-at,12
143,9,5.919082788,wt-at,12
152,0,1.396830283,mt-at,12
172,0,1.396830283,mt-at,12
19,0,1.396830283,mt-at,12
2,0,1.396830283,mt-at,12
21,0,1.396830283,mt-at,12
24,0,1.396830283,mt-at,12
3,0,1.396830283,mt-at,12
317,0,1.396830283,mt-at,12
318,0,1.396830283,mt-at,12
319,0,1.396830283,mt-at,12
320,0,1.396830283,mt-at,12
321,0,1.396830283,mt-at,12
323,0,1.396830283,mt-at,12
324,0,1.396830283,mt-at,12
325,0,1.396830283,mt-at,12
326,0,1.396830283,mt-at,12
327,0,1.396830283,mt-at,12
328,0,1.396830283,mt-at,12
329,1,1.715080899,mt-at,12
330,0,1.396830283,mt-at,12
331,0,1.396830283,mt-at,12
332,0,1.396830283,mt-at,12
333,98,1.078579666,mt-at,12
334,0,1.396830283,mt-at,12
335,0,1.396830283,mt-at,12
336,0,1.396830283,mt-at,12
337,0,1.396830283,mt-at,12
338,0,1.396830283,mt-at,12
339,0,1.396830283,mt-at,12
340,0,1.396830283,mt-at,12
4,0,1.396830283,mt-at,12
5,0,1.396830283,mt-at,12
6,0,1.396830283,mt-at,12
1,0,0.510041619,mt-at,13
101,2,6.749248454,wt-at,13
102,187,4.257682045,wt-at,13
103,4172,5.492405206,wt-at,13
104,0,3.283047408,wt-at,13
105,11,3.103248065,wt-at,13
106,0,3.283047408,wt-at,13
107,0,3.283047408,wt-at,13
108,0,3.283047408,wt-at,13
109,0,3.283047408,wt-at,13
