,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
296,145,2,80.99,90.51,-0.79,0.0,50,0,4.83836689,mt-at
297,146,2,80.99,90.51,-1.57,-0.79,50,0,1.7362511109999998,mt-at
298,147,2,80.99,90.51,-2.36,-1.57,50,0,1.5555569519999999,mt-at
299,148,2,80.99,90.51,-3.14,-2.36,50,0,1.5555569519999999,mt-at
300,149,2,80.99,90.51,0.0,0.79,50,0,6.284356842,mt-at
301,150,2,80.99,90.51,0.79,1.57,50,0,8.36757738,mt-at
302,151,2,80.99,90.51,1.57,2.36,50,0,1.8832690859999999,mt-at
303,152,2,80.99,90.51,2.36,3.14,50,0,1.5120652469999998,mt-at
304,1,3,-14.29,-4.76,-0.79,0.0,50,113,1.060501823,mt-at
305,2,3,-14.29,-4.76,-1.57,-0.79,50,9,0.418435324,mt-at
306,3,3,-14.29,-4.76,-2.36,-1.57,50,4,0.288384468,mt-at
307,4,3,-14.29,-4.76,-3.14,-2.36,50,3,0.336227699,mt-at
308,5,3,-14.29,-4.76,0.0,0.79,50,139,0.763630397,mt-at
309,6,3,-14.29,-4.76,0.79,1.57,50,211,1.445790127,mt-at
310,7,3,-14.29,-4.76,1.57,2.36,50,472,2.572692995,mt-at
311,8,3,-14.29,-4.76,2.36,3.14,50,22,0.536996667,mt-at
312,9,3,-23.82,-14.29,-0.79,0.0,50,345,1.539261451,mt-at
313,10,3,-23.82,-14.29,-1.57,-0.79,50,0,5.51054723,mt-at
314,11,3,-23.82,-14.29,-2.36,-1.57,50,15,1.3895875340000001,mt-at
315,12,3,-23.82,-14.29,-3.14,-2.36,50,72,2.984960913,mt-at
316,13,3,-23.82,-14.29,0.0,0.79,50,124,0.863547913,mt-at
317,14,3,-23.82,-14.29,0.79,1.57,50,194,0.9553036020000001,mt-at
318,15,3,-23.82,-14.29,1.57,2.36,50,253,1.66898445,mt-at
319,16,3,-23.82,-14.29,2.36,3.14,50,0,4.250710305,mt-at
320,17,3,-33.35,-23.82,-0.79,0.0,50,491,1.988420751,mt-at
321,18,3,-33.35,-23.82,-1.57,-0.79,50,91,1.5988327530000002,mt-at
322,19,3,-33.35,-23.82,-2.36,-1.57,50,200,2.696258785,mt-at
323,20,3,-33.35,-23.82,-3.14,-2.36,50,583,5.3582872969999995,mt-at
324,21,3,-33.35,-23.82,0.0,0.79,50,352,2.165011903,mt-at
325,22,3,-33.35,-23.82,0.79,1.57,50,113,0.8013850020000001,mt-at
326,23,3,-33.35,-23.82,1.57,2.36,50,174,1.377139145,mt-at
