,landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
188,37,2,-42.88,-33.35,0.0,0.79,50,2597,3.4380234360000004,mt-zrf
189,38,2,-42.88,-33.35,0.79,1.57,50,1077,3.039821515,mt-zrf
190,39,2,-42.88,-33.35,1.57,2.36,50,2731,4.350790728,mt-zrf
191,40,2,-42.88,-33.35,2.36,3.14,50,1325,3.123826793,mt-zrf
192,41,2,-52.4,-42.88,-0.79,0.0,50,7508,4.515731421,mt-zrf
193,42,2,-52.4,-42.88,-1.57,-0.79,50,4174,3.0177889610000004,mt-zrf
194,43,2,-52.4,-42.88,-2.36,-1.57,50,2172,2.2466440430000003,mt-zrf
195,44,2,-52.4,-42.88,-3.14,-2.36,50,2347,2.41119811,mt-zrf
196,45,2,-52.4,-42.88,0.0,0.79,50,1901,2.609627205,mt-zrf
197,46,2,-52.4,-42.88,0.79,1.57,50,1136,1.903432337,mt-zrf
198,47,2,-52.4,-42.88,1.57,2.36,50,3303,2.8474917,mt-zrf
199,48,2,-52.4,-42.88,2.36,3.14,50,2609,2.675350952,mt-zrf
200,49,2,-61.93,-52.4,-0.79,0.0,50,2573,5.652977821,mt-zrf
201,50,2,-61.93,-52.4,-1.57,-0.79,50,1877,3.7516399239999996,mt-zrf
202,51,2,-61.93,-52.4,-2.36,-1.57,50,1090,2.221921352,mt-zrf
203,52,2,-61.93,-52.4,-3.14,-2.36,50,1175,2.369218695,mt-zrf
204,53,2,-61.93,-52.4,0.0,0.79,50,16,1.085356714,mt-zrf
205,54,2,-61.93,-52.4,0.79,1.57,50,38,0.49099620200000005,mt-zrf
206,55,2,-61.93,-52.4,1.57,2.36,50,120,1.04047247,mt-zrf
207,56,2,-61.93,-52.4,2.36,3.14,50,2150,3.170340496,mt-zrf
208,57,2,-71.46,-61.93,-0.79,0.0,50,0,7.975689779954546,mt-zrf
209,58,2,-71.46,-61.93,-1.57,-0.79,50,1,9.492716817,mt-zrf
210,59,2,-71.46,-61.93,-2.36,-1.57,50,34,19.2018078,mt-zrf
211,60,2,-71.46,-61.93,-3.14,-2.36,50,0,4.685663,mt-zrf
212,61,2,-71.46,-61.93,0.0,0.79,50,0,7.54188176757143,mt-zrf
213,62,2,-71.46,-61.93,0.79,1.57,50,0,9.371338572047621,mt-zrf
214,63,2,-71.46,-61.93,1.57,2.36,50,0,6.53121312817647,mt-zrf
215,64,2,-71.46,-61.93,2.36,3.14,50,0,6.071621147214286,mt-zrf
216,65,2,-80.99,-71.46,-0.79,0.0,50,0,10.3128461528,mt-zrf
217,66,2,-80.99,-71.46,-1.57,-0.79,50,0,11.3182055094,mt-zrf
218,67,2,-80.99,-71.46,-2.36,-1.57,50,0,5.815648733333333,mt-zrf
219,68,2,-80.99,-71.46,-3.14,-2.36,50,0,5.815648733333333,mt-zrf
220,69,2,-80.99,-71.46,0.0,0.79,50,0,10.684059734200002,mt-zrf
221,70,2,-80.99,-71.46,0.79,1.57,50,0,12.2509807665,mt-zrf
222,71,2,-80.99,-71.46,1.57,2.36,50,0,8.217831928,mt-zrf
223,72,2,-80.99,-71.46,2.36,3.14,50,0,10.4099061955,mt-zrf
224,73,2,-90.51,-80.99,-0.79,0.0,50,0,10.584386488333333,mt-zrf
225,74,2,-90.51,-80.99,-1.57,-0.79,50,0,10.584386488333333,mt-zrf
226,75,2,-90.51,-80.99,-2.36,-1.57,50,0,6.6317259075,mt-zrf
227,76,2,-90.51,-80.99,-3.14,-2.36,50,0,6.6317259075,mt-zrf
228,77,2,-90.51,-80.99,0.0,0.79,50,0,9.276694040333334,mt-zrf
229,78,2,-90.51,-80.99,0.79,1.57,50,0,9.276694040333334,mt-zrf
