"","Index","min_alpha","max_alpha","min_theta","max_theta","num","pts","r","stype"
"323",4,"-14.29","-4.76","-1.57","-0.79","50","4","0.334764334","mt-at"
"324",4,"-14.29","-4.76","-2.36","-1.57","50","103","9.73675314","mt-at"
"325",4,"-14.29","-4.76","-3.14","-2.36","50","76","7.091485092","mt-at"
"326",4,"-14.29","-4.76","0.0","0.79","50","7","8.307312405","mt-at"
"327",4,"-14.29","-4.76","0.79","1.57","50","0",NA,"mt-at"
"328",4,"-14.29","-4.76","1.57","2.36","50","0",NA,"mt-at"
"329",4,"-14.29","-4.76","2.36","3.14","50","10","0.597825285","mt-at"
"330",4,"-23.82","-14.29","-0.79","0.0","50","0",NA,"mt-at"
"331",4,"-23.82","-14.29","-1.57","-0.79","50","0",NA,"mt-at"
"332",4,"-23.82","-14.29","-2.36","-1.57","50","706","4.340770576","mt-at"
"333",4,"-23.82","-14.29","-3.14","-2.36","50","988","4.251680624","mt-at"
"334",4,"-23.82","-14.29","0.0","0.79","50","0",NA,"mt-at"
"335",4,"-23.82","-14.29","0.79","1.57","50","20","10.79298852","mt-at"
"336",4,"-23.82","-14.29","1.57","2.36","50","4","2.915549157","mt-at"
"337",4,"-23.82","-14.29","2.36","3.14","50","152","2.327550098","mt-at"
"338",4,"-33.35","-23.82","-0.79","0.0","50","54","0.727816507","mt-at"
"339",4,"-33.35","-23.82","-1.57","-0.79","50","101","1.088325389","mt-at"
"340",4,"-33.35","-23.82","-2.36","-1.57","50","955","2.888734394","mt-at"
"341",4,"-33.35","-23.82","-3.14","-2.36","50","2164","3.159945234","mt-at"
"342",4,"-33.35","-23.82","0.0","0.79","50","152","9.084689552","mt-at"
"343",4,"-33.35","-23.82","0.79","1.57","50","684","6.856226931","mt-at"
"344",4,"-33.35","-23.82","1.57","2.36","50","199","2.815186634","mt-at"
"345",4,"-33.35","-23.82","2.36","3.14","50","601","2.636486418","mt-at"
"346",4,"-4.76","4.76","-0.79","0.0","50","174","3.194101255","mt-at"
"347",4,"-4.76","4.76","-1.57","-0.79","50","76","3.734776534","mt-at"
"348",4,"-4.76","4.76","-2.36","-1.57","50","66","3.513877271","mt-at"
