landmark_index,sample_index,min_alpha,max_alpha,min_theta,max_theta,num,pts,r,stype
123,2,52.4,61.93,-2.36,-1.57,50,0,NA,mt-zrf
124,2,52.4,61.93,-3.14,-2.36,50,0,NA,mt-zrf
125,2,52.4,61.93,0,0.79,50,0,NA,mt-zrf
126,2,52.4,61.93,0.79,1.57,50,0,NA,mt-zrf
127,2,52.4,61.93,1.57,2.36,50,14,1.739113337,mt-zrf
128,2,52.4,61.93,2.36,3.14,50,4,1.62208262,mt-zrf
129,2,61.93,71.46,-0.79,0,50,0,NA,mt-zrf
130,2,61.93,71.46,-1.57,-0.79,50,0,NA,mt-zrf
131,2,61.93,71.46,-2.36,-1.57,50,0,NA,mt-zrf
132,2,61.93,71.46,-3.14,-2.36,50,0,NA,mt-zrf
133,2,61.93,71.46,0,0.79,50,0,NA,mt-zrf
134,2,61.93,71.46,0.79,1.57,50,0,NA,mt-zrf
135,2,61.93,71.46,1.57,2.36,50,0,NA,mt-zrf
136,2,61.93,71.46,2.36,3.14,50,0,NA,mt-zrf
137,2,71.46,80.99,-0.79,0,50,0,NA,mt-zrf
138,2,71.46,80.99,-1.57,-0.79,50,0,NA,mt-zrf
139,2,71.46,80.99,-2.36,-1.57,50,0,NA,mt-zrf
140,2,71.46,80.99,-3.14,-2.36,50,0,NA,mt-zrf
141,2,71.46,80.99,0,0.79,50,0,NA,mt-zrf
142,2,71.46,80.99,0.79,1.57,50,0,NA,mt-zrf
143,2,71.46,80.99,1.57,2.36,50,0,NA,mt-zrf
144,2,71.46,80.99,2.36,3.14,50,0,NA,mt-zrf
145,2,80.99,90.51,-0.79,0,50,0,NA,mt-zrf
146,2,80.99,90.51,-1.57,-0.79,50,0,NA,mt-zrf
147,2,80.99,90.51,-2.36,-1.57,50,0,NA,mt-zrf
148,2,80.99,90.51,-3.14,-2.36,50,0,NA,mt-zrf
149,2,80.99,90.51,0,0.79,50,0,NA,mt-zrf
150,2,80.99,90.51,0.79,1.57,50,0,NA,mt-zrf
151,2,80.99,90.51,1.57,2.36,50,0,NA,mt-zrf
152,2,80.99,90.51,2.36,3.14,50,0,NA,mt-zrf
1,3,-14.29,-4.76,-0.79,0,50,533,4.663728181,mt-zrf
2,3,-14.29,-4.76,-1.57,-0.79,50,558,12.82273728,mt-zrf
3,3,-14.29,-4.76,-2.36,-1.57,50,1256,20.44979882,mt-zrf
4,3,-14.29,-4.76,-3.14,-2.36,50,2843,6.228404291,mt-zrf
5,3,-14.29,-4.76,0,0.79,50,417,5.909785061,mt-zrf
6,3,-14.29,-4.76,0.79,1.57,50,2679,7.859235408,mt-zrf
7,3,-14.29,-4.76,1.57,2.36,50,184,5.260388783,mt-zrf
8,3,-14.29,-4.76,2.36,3.14,50,1536,4.312015318,mt-zrf
9,3,-23.82,-14.29,-0.79,0,50,635,7.641347771,mt-zrf
10,3,-23.82,-14.29,-1.57,-0.79,50,2569,7.603503694,mt-zrf
11,3,-23.82,-14.29,-2.36,-1.57,50,4851,7.000980305,mt-zrf
12,3,-23.82,-14.29,-3.14,-2.36,50,4483,5.991775419,mt-zrf
13,3,-23.82,-14.29,0,0.79,50,806,2.914997529,mt-zrf
14,3,-23.82,-14.29,0.79,1.57,50,2760,7.928171176,mt-zrf
15,3,-23.82,-14.29,1.57,2.36,50,2143,3.745411274,mt-zrf
16,3,-23.82,-14.29,2.36,3.14,50,305,3.025046792,mt-zrf
17,3,-33.35,-23.82,-0.79,0,50,1156,4.4542284,mt-zrf
18,3,-33.35,-23.82,-1.57,-0.79,50,5315,4.76340797,mt-zrf
19,3,-33.35,-23.82,-2.36,-1.57,50,9162,5.680907906,mt-zrf
20,3,-33.35,-23.82,-3.14,-2.36,50,3922,6.712438015,mt-zrf
21,3,-33.35,-23.82,0,0.79,50,2475,5.674755856,mt-zrf
22,3,-33.35,-23.82,0.79,1.57,50,5788,5.652710932,mt-zrf
